ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location,Historical Wards 2003-2015,Zip Codes,Community Areas,Census Tracts,Wards,Boundaries - ZIP Codes,Police Districts,Police Beats
11841083,JC448622,09/25/2019 10:25:00 PM,046XX S HARDING AVE,0460,BATTERY,SIMPLE,STREET,false,false,0821,008,14,57,08B,1150804,1873609,2019,10/02/2019 04:23:12 PM,41.809074153,-87.722404745,"(41.809074153, -87.722404745)",49,22248,54,563,8,56,13,103
11841055,JC448602,09/25/2019 10:20:00 PM,011XX W GARFIELD BLVD,1345,CRIMINAL DAMAGE,TO CITY OF CHICAGO PROPERTY,STREET,false,false,0934,009,20,61,14,1169836,1868334,2019,10/02/2019 04:23:12 PM,41.794206512,-87.652752095,"(41.794206512, -87.652752095)",19,21559,59,791,4,37,23,127
11841692,JC449395,09/25/2019 10:18:00 PM,005XX W ADDISON ST,0820,THEFT,$500 AND UNDER,APARTMENT,false,false,1925,019,46,6,06,1171718,1924537,2019,10/02/2019 04:23:12 PM,41.948390477,-87.644196301,"(41.948390477, -87.644196301)",37,4449,57,726,39,53,5,18
11845716,JC449269,09/25/2019 10:15:00 PM,076XX N SHERIDAN RD,0610,BURGLARY,FORCIBLE ENTRY,VACANT LOT/LAND,false,false,2422,024,49,1,05,,,2019,10/02/2019 04:23:12 PM,,,,,,,,,,,
11840959,JC448592,09/25/2019 10:15:00 PM,013XX W TOUHY AVE,0820,THEFT,$500 AND UNDER,RESIDENTIAL YARD (FRONT/BACK),false,false,2423,024,49,1,06,1166046,1947970,2019,10/02/2019 04:23:12 PM,42.01281459,-87.664372618,"(42.01281459, -87.664372618)",3,21853,10,357,5,9,11,37
11841010,JC448615,09/25/2019 10:11:00 PM,094XX S ST LAWRENCE AVE,3710,INTERFERENCE WITH PUBLIC OFFICER,RESIST/OBSTRUCT/DISARM OFFICER,STREET,true,false,0633,006,9,49,24,1181890,1842609,2019,10/02/2019 04:23:12 PM,41.723344058,-87.609344841,"(41.723344058, -87.609344841)",30,21546,45,555,43,61,20,248
11840969,JC448600,09/25/2019 10:09:00 PM,055XX S ABERDEEN ST,1345,CRIMINAL DAMAGE,TO CITY OF CHICAGO PROPERTY,STREET,false,false,0712,007,16,68,14,1169927,1868066,2019,10/02/2019 04:23:12 PM,41.793469112,-87.652426187,"(41.793469112, -87.652426187)",19,21559,66,409,2,11,17,261
11841028,JC448645,09/25/2019 10:08:00 PM,106XX S WOOD ST,1822,NARCOTICS,MANU/DEL:CANNABIS OVER 10 GMS,STREET,true,false,2212,022,19,72,18,1166244,1833911,2019,10/02/2019 04:23:12 PM,41.699822146,-87.666901456,"(41.699822146, -87.666901456)",33,22212,71,630,42,13,9,257
11841061,JC448616,09/25/2019 10:05:00 PM,034XX N LAKE SHORE DR,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,true,true,1925,019,44,6,08B,1172449,1923411,2019,10/02/2019 04:23:12 PM,41.945284535,-87.641542722,"(41.945284535, -87.641542722)",38,4449,57,535,25,22,5,18
11841019,JC448609,09/25/2019 10:05:00 PM,049XX S INDIANA AVE,2024,NARCOTICS,POSS: HEROIN(WHITE),SIDEWALK,true,false,0224,002,3,38,18,1178437,1872225,2019,10/02/2019 04:23:12 PM,41.804692592,-87.62109457,"(41.804692592, -87.62109457)",12,21192,4,449,9,10,24,107
11841024,JC448624,09/25/2019 10:05:00 PM,017XX E 70TH ST,0560,ASSAULT,SIMPLE,APARTMENT,false,true,0332,003,5,43,08A,1189162,1858915,2019,10/02/2019 04:23:12 PM,41.767918344,-87.582187069,"(41.767918344, -87.582187069)",32,22538,39,381,33,24,18,212
11841049,JC448621,09/25/2019 10:05:00 PM,052XX W POTOMAC AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,2532,025,37,25,08B,1141217,1908154,2019,10/02/2019 04:23:12 PM,41.904052033,-87.756717683,"(41.904052033, -87.756717683)",4,4299,26,599,45,5,6,145
11841063,JC448611,09/25/2019 10:05:00 PM,060XX S FAIRFIELD AVE,3710,INTERFERENCE WITH PUBLIC OFFICER,RESIST/OBSTRUCT/DISARM OFFICER,APARTMENT,true,true,0825,008,16,66,24,1159080,1864436,2019,10/02/2019 04:23:12 PM,41.783736764,-87.692300635,"(41.783736764, -87.692300635)",44,21867,64,111,2,58,13,274
11841982,JC449514,09/25/2019 10:00:00 PM,017XX N CENTRAL PARK AVE,0810,THEFT,OVER $500,DRIVEWAY - RESIDENTIAL,false,false,2535,025,26,23,06,1152103,1911522,2019,10/02/2019 04:23:12 PM,41.913086382,-87.716641361,"(41.913086382, -87.716641361)",10,22535,24,352,49,1,7,190
11841054,JC448583,09/25/2019 10:00:00 PM,011XX W GARFIELD BLVD,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,0712,007,16,68,14,1169471,1868186,2019,10/02/2019 04:23:12 PM,41.793808304,-87.654094821,"(41.793808304, -87.654094821)",19,21559,66,409,2,11,17,261
